Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3,Temporal_Class
gene-PA0042,host,gene-PA0042,5.3230099791384085,5.5254529391317835,5.6131281063880705,5.631211781821365,5.981414211254481,5.342334251964811,4.852030263919617,5.19295685089021,5.14166355650266,5.049856007249537,5.147494476813453,5.288267030694535,early
gene-PA4022,host,gene-PA4022,5.241747015059643,6.566672429803241,6.230481447578482,4.859812404361672,5.389071729816501,6.608000625296087,4.2626798770413155,4.718498871295094,6.415096959171596,4.532599493153256,4.736198448394496,5.84354441703136,middle
gene-PA3915,host,moaB1,5.3706380281276624,4.844187086458591,5.583496308781699,4.948759890378168,5.262690188904886,4.804021044733257,7.557472901614746,5.10594547390058,4.919980925828125,8.03947991910045,8.706655856361559,7.246368080102461,late
gene-PA3618,host,gene-PA3618,5.560681631015528,6.302618975744905,6.26530121273771,5.293304824724492,6.144185634125646,5.683579767338681,4.836281906951478,5.7430031878094825,6.021023349349527,5.117993812416755,5.659482215759621,5.736572297479192,early
gene-PA1346,host,gene-PA1346,3.9512437185814275,4.653960350157523,3.6375861597263857,3.6109179126442243,4.394449154672439,3.332204510175204,3.367295829986474,3.4011973816621555,3.258096538021482,3.332204510175204,3.2188758248682006,3.091042453358316,early
gene-PA3646,host,lpxD,7.951911381854188,7.988542982737695,8.172729104865471,7.97349996402463,8.65084957622891,8.762646029650282,8.096817470572319,8.463581421967588,8.566364235422688,8.14902386805177,8.357259153499912,8.666302614004078,middle
gene-PA0192,host,gene-PA0192,4.343805421853684,4.7535901911063645,4.343805421853684,3.784189633918261,4.51085950651685,3.9512437185814275,3.044522437723423,3.8501476017100584,4.04305126783455,3.332204510175204,3.8501476017100584,3.7376696182833684,early
gene-PA1237,host,gene-PA1237,4.1588830833596715,4.418840607796598,3.970291913552122,3.091042453358316,3.871201010907891,3.1780538303479458,3.091042453358316,3.58351893845611,3.4011973816621555,3.295836866004329,3.5553480614894135,3.5553480614894135,early
gene-PA4334,host,gene-PA4334,5.43372200355424,5.948034989180646,6.045005314036012,5.332718793265369,5.940171252720432,5.7745515455444085,5.081404364984463,5.765191102784844,5.905361848054571,5.075173815233827,5.497168225293202,5.652489180268651,early
gene-PA4053,host,ribE,7.691200097522863,7.8009820712577405,7.860185057472165,7.945909598613133,9.04699757378001,8.751949058058614,8.170185652879642,8.537779825024625,8.376320632534823,8.020927718981577,8.575084669832014,8.519390774959724,early
gene-PA0887,host,acsA,6.727431724850855,7.944846711001996,6.673297967767654,6.18826412308259,7.1891677384203225,7.47477218239787,5.375278407684165,5.934894195619588,7.949797216161852,5.91350300563827,5.605802066295998,5.796057750765372,middle
gene-PA0626,host,gene-PA0626,7.118826249062078,6.677083461247136,7.472500744737558,6.2324480165505225,6.222576268071369,7.024649030453636,6.131226489483141,5.641907070938114,6.92951677076365,5.991464547107982,5.8289456176102075,7.275864600546533,early
gene-PA1867,host,xphA,3.332204510175204,3.4965075614664802,3.332204510175204,3.4965075614664802,4.127134385045092,3.258096538021482,3.970291913552122,4.836281906951478,3.828641396489095,3.295836866004329,4.248495242049359,4.290459441148391,middle
gene-PA0554,host,gene-PA0554,6.455198563340122,6.740519359606223,6.8501261661455,6.670766320845874,7.550661243105336,7.470793774195062,6.70196036600254,7.3777589082278725,7.143617602704121,6.747586526829315,7.003065458786462,7.3277805384216315,early
gene-PA1262,host,gene-PA1262,3.9889840465642745,4.532599493153256,3.8501476017100584,3.9318256327243257,4.290459441148391,3.58351893845611,2.8903717578961645,3.6888794541139363,3.8501476017100584,3.1354942159291497,3.871201010907891,3.6888794541139363,early
gene-PA4072,host,gene-PA4072,5.4638318050256105,7.01211529430638,6.075346031088684,4.976733742420574,6.054439346269371,4.5217885770490405,4.02535169073515,5.69035945432406,4.762173934797756,4.663439094112067,5.420534999272286,4.330733340286331,early
gene-PA1324.1,host,gene-PA1324.1,4.04305126783455,5.030437921392435,5.056245805348308,4.276666119016055,5.017279836814924,4.382026634673881,3.367295829986474,4.406719247264253,4.382026634673881,3.7612001156935624,4.624972813284271,4.394449154672439,early
gene-PA4983,host,gene-PA4983,4.74493212836325,6.137727054086234,5.3471075307174685,4.77912349311153,5.493061443340548,4.624972813284271,4.110873864173311,4.912654885736052,4.962844630259907,4.174387269895637,5.049856007249537,4.499809670330265,early
gene-PA2643,host,nuoH,8.32845106681936,7.80710329012598,7.834788107388194,7.953318346560431,8.005700678662542,6.7912214627261855,7.633853559681768,7.673223121121708,7.711548979629146,7.753194269884341,8.051659556841953,7.795234929002173,late
gene-PA3574a,host,gene-PA3574a,5.420534999272286,6.5638555265321274,6.70808408385307,5.198497031265826,6.7661917146603505,6.3818160174060985,5.429345628954441,6.369900982828227,5.971261839790462,6.0330862217988015,6.6039438246004725,5.908082938168931,early
gene-PA3252,host,gene-PA3252,4.007333185232471,4.859812404361672,4.04305126783455,3.4339872044851463,4.30406509320417,3.295836866004329,3.6888794541139363,3.5553480614894135,3.4657359027997265,3.713572066704308,3.828641396489095,3.6635616461296463,early
gene-PA1585,host,sucA,10.471864846140123,9.82720028436401,9.714080956018943,9.99104044954399,9.99624903261744,9.65637144183101,9.829948649201258,9.891161902845491,9.861571209434837,9.852773037991627,10.106510025854115,9.941650013630477,late
gene-PA5511,host,mifR,6.424869023905388,7.20414929203594,6.951772164398911,6.091309882077698,7.002155954403621,6.555356891810665,5.8971538676367405,6.480044561926653,6.734591659972948,6.056784013228625,6.453624998892692,6.583409222158765,early
gene-PA2658,host,gene-PA2658,6.859614903654202,6.844815479208263,6.284134161070802,6.489204931325317,6.994849985833071,6.326149473155099,6.1903154058531475,6.408528791059498,6.1070228877422545,6.18826412308259,6.424869023905388,6.269096283706261,early
gene-PA3523,host,gene-PA3523,3.871201010907891,5.062595033026967,4.499809670330265,3.784189633918261,4.477336814478207,4.248495242049359,3.367295829986474,3.970291913552122,4.465908118654584,4.174387269895637,4.276666119016055,4.276666119016055,early
gene-PA2705,host,gene-PA2705,6.210600077024653,7.1846291527173145,6.63200177739563,6.244166900663736,6.905753276311464,6.152732694704104,5.840641657373398,6.588926477533519,6.045005314036012,5.886104031450156,6.492239835020471,6.651571873589727,early
