Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp057,0,0,0,0.0,0.0,0.0,43.0,3.0,17.0,978.0,138.0,753.0,2169.0,1202.0,1043.0,260.0,432.0,252.0,123.0,116.0,111.0,phage,gene-CPT_phageK_gp057
gene-CPT_phageK_gp056,0,0,0,0.0,0.0,0.0,37.0,3.0,6.0,665.0,94.0,573.0,1645.0,749.0,755.0,224.0,329.0,201.0,99.0,82.0,80.0,phage,gene-CPT_phageK_gp056
gene-CPT_phageK_gp108,1,0,0,12.0,0.0,1.0,53.0,5.0,23.0,769.0,159.0,1232.0,2738.0,2206.0,2622.0,1586.0,1917.0,2127.0,1366.0,1478.0,1163.0,phage,gene-CPT_phageK_gp108
gene-CPT_phageK_gp080,1,2,0,60.0,2.0,1.0,94.0,21.0,35.0,3326.0,399.0,4084.0,15883.0,7292.0,10241.0,9330.0,8108.0,7695.0,5186.0,4043.0,2500.0,phage,gene-CPT_phageK_gp080
gene-CPT_phageK_gp183,0,1,0,299.0,3.0,1.0,36.0,3.0,9.0,337.0,76.0,365.0,1385.0,866.0,1567.0,14152.0,12582.0,34130.0,29697.0,32666.0,21122.0,phage,gene-CPT_phageK_gp183
gene-CPT_phageK_gp232,1,0,0,15.0,0.0,0.0,36.0,4.0,12.0,1061.0,94.0,1094.0,3540.0,1611.0,1919.0,1347.0,1536.0,1244.0,824.0,872.0,350.0,phage,gene-CPT_phageK_gp232
gene-CPT_phageK_gp153,0,0,0,26.0,0.0,0.0,66.0,4.0,27.0,872.0,139.0,966.0,1992.0,1547.0,1274.0,1560.0,1383.0,2912.0,3151.0,2956.0,2576.0,phage,gene-CPT_phageK_gp153
gene-CPT_phageK_gp070,0,1,0,59.0,3.0,0.0,108.0,18.0,49.0,3177.0,382.0,4165.0,11254.0,7058.0,8268.0,6906.0,6819.0,6559.0,3970.0,3248.0,2028.0,phage,gene-CPT_phageK_gp070
gene-CPT_phageK_gp150,0,1,2,194.0,4.0,2.0,306.0,39.0,104.0,7581.0,1109.0,9337.0,23737.0,16395.0,15871.0,13151.0,13506.0,17800.0,20209.0,17469.0,13549.0,phage,gene-CPT_phageK_gp150
gene-CPT_phageK_gp197,1,0,0,118.0,3.0,1.0,321.0,32.0,93.0,5082.0,738.0,8547.0,19300.0,13746.0,17499.0,13821.0,15891.0,18502.0,9668.0,10152.0,6046.0,phage,gene-CPT_phageK_gp197
gene-CPT_phageK_gp124,0,1,0,28.0,0.0,2.0,116.0,15.0,36.0,1959.0,337.0,3952.0,6134.0,5132.0,5491.0,3658.0,3403.0,4538.0,2406.0,2088.0,2238.0,phage,gene-CPT_phageK_gp124
gene-CPT_phageK_gp096,1,4,1,58.0,5.0,4.0,284.0,27.0,130.0,4815.0,638.0,5633.0,15396.0,7826.0,10487.0,6224.0,7016.0,6871.0,4020.0,3304.0,3235.0,phage,gene-CPT_phageK_gp096
