Geneid,Entity,Symbol,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b3385,host,gph,7.157735484249907,6.616065185132817,6.932447891572509,6.815639990074331,5.198497031265826,5.659482215759621,4.605170185988092,4.23410650459726,5.043425116919247,3.871201010907891,5.303304908059076,3.9318256327243257
gene-b2534,host,yfhR,4.68213122712422,2.0794415416798357,4.736198448394496,3.044522437723423,4.174387269895637,3.044522437723423,4.574710978503383,3.4657359027997265,4.31748811353631,2.3978952727983707,4.8283137373023015,2.3978952727983707
gene-b1625,host,cnu,4.852030263919617,3.6888794541139363,5.318119993844216,3.9512437185814275,3.7376696182833684,2.70805020110221,2.6390573296152584,1.791759469228055,2.5649493574615367,1.3862943611198906,3.4339872044851463,1.0986122886681098
gene-b0187,host,yaeR,5.159055299214529,4.7535901911063645,4.762173934797756,4.912654885736052,3.784189633918261,3.7612001156935624,3.4657359027997265,2.995732273553991,3.6635616461296463,2.302585092994046,4.465908118654584,2.4849066497880004
gene-b4070,host,nrfA,4.990432586778736,2.833213344056216,5.111987788356544,3.7612001156935624,4.700480365792417,2.302585092994046,4.653960350157523,1.9459101490553132,4.718498871295094,0.6931471805599453,5.572154032177765,0.6931471805599453
gene-b2675,host,nrdE,5.793013608384144,5.017279836814924,6.161207321695077,6.028278520230698,4.634728988229636,4.189654742026425,4.897839799950911,3.091042453358316,4.927253685157205,1.9459101490553132,5.645446897643238,2.1972245773362196
gene-b4666,host,ibsE,7.945201132412759,6.156978985585555,7.331714969726466,5.631211781821365,6.799055862058796,5.342334251964811,5.7745515455444085,4.3694478524670215,5.572154032177765,3.258096538021482,5.0369526024136295,3.332204510175204
gene-b1015,host,putP,6.436150368369428,6.876264611890766,6.35088571671474,7.179307969504034,5.720311776607412,6.3818160174060985,5.209486152841421,4.955827057601261,5.056245805348308,4.454347296253507,5.3706380281276624,4.672828834461906
gene-b4369,host,leuP,9.805488761654026,7.416979621381154,9.959915143834772,7.299797366758161,,6.431331081933479,,5.627621113690637,,4.941642422609304,,5.153291594497779
gene-b4687,host,shoB,6.302618975744905,2.9444389791664403,5.645446897643238,3.295836866004329,5.8888779583328805,3.4011973816621555,6.0063531596017325,3.1354942159291497,5.7745515455444085,2.3978952727983707,5.420534999272286,2.4849066497880004
gene-b4613,host,dinQ,7.183870715062453,5.560681631015528,7.133295954896068,5.808142489980444,6.659293919683638,5.58724865840025,6.579251212010101,5.4638318050256105,6.786716950605081,4.804021044733257,6.343880434126331,4.990432586778736
gene-b1091,host,fabH,7.379008127628304,7.783640596221253,7.4073177104694174,8.34711636103872,5.905361848054571,7.403670290012373,5.056245805348308,6.19644412779452,5.147494476813453,5.627621113690637,5.176149732573829,5.568344503761097
gene-b2687,host,luxS,8.192016914536875,7.016609683894219,8.443115988019922,6.777646593635117,6.434546518787453,5.82600010738045,4.969813299576001,4.8283137373023015,5.768320995793772,4.356708826689592,4.969813299576001,4.418840607796598
gene-T4p239,phage,frd,3.6635616461296463,0.6931471805599453,11.096803776673536,8.281470857895167,,9.938565079148825,,,,,,
gene-b3673,host,emrD,6.257667587882639,4.406719247264253,5.8664680569332965,4.127134385045092,5.10594547390058,3.5553480614894135,4.867534450455582,2.833213344056216,5.081404364984463,2.1972245773362196,5.8664680569332965,2.772588722239781
gene-b4829,host,uhpU,3.6888794541139363,1.791759469228055,4.127134385045092,2.0794415416798357,3.6888794541139363,2.0794415416798357,3.4011973816621555,0.6931471805599453,3.6375861597263857,1.0986122886681098,4.532599493153256,0.0
gene-b2511,host,der,7.870165946469845,7.329749689041512,8.41847721847708,8.059276223305648,6.78105762593618,7.346655163176539,5.631211781821365,5.777652323222656,5.697093486505405,5.017279836814924,5.62040086571715,5.062595033026967
gene-b3256,host,accC,9.743905482711662,8.58858318750291,9.825958350026891,8.874867635688053,8.114324709155339,8.105911197986508,7.071573364211532,6.812345094177479,7.20934025660291,6.343880434126331,6.391917113392602,6.38856140554563
gene-b0251,host,yafY,4.204692619390966,3.044522437723423,4.1588830833596715,3.258096538021482,3.4011973816621555,2.302585092994046,3.6375861597263857,2.1972245773362196,3.9318256327243257,1.9459101490553132,4.465908118654584,2.0794415416798357
